geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count
1400000US06037533601,6037533601,2015,4504,0,0,0,0
1400000US06037533602,6037533602,2015,5420,0,0,0,0
1400000US06037533603,6037533603,2015,6619,0,0,0,0
1400000US06037533701,6037533701,2015,3934,0,0,0,0
1400000US06037533702,6037533702,2015,3524,0,0,0,0
1400000US06037533703,6037533703,2015,2771,0,0,0,0
1400000US06037533803,6037533803,2015,6359,0,0,0,0
1400000US06037533804,6037533804,2015,4543,0,0,0,0
1400000US06037533805,6037533805,2015,3636,0,0,0,0
1400000US06037533806,6037533806,2015,3198,0,0,0,0
1400000US06037533901,6037533901,2015,6065,0,0,0,0
1400000US06037533902,6037533902,2015,4051,0,0,0,0
1400000US06037534001,6037534001,2015,5613,0,0,0,0
1400000US06037534002,6037534002,2015,4350,311,145,82,45
1400000US06037534101,6037534101,2015,2285,0,0,0,0
1400000US06037534102,6037534102,2015,6263,0,0,0,0
1400000US06037534201,6037534201,2015,4439,0,0,0,0
1400000US06037534202,6037534202,2015,5790,0,0,0,0
1400000US06037534203,6037534203,2015,3204,0,0,0,0
1400000US06037534301,6037534301,2015,4630,0,0,0,0
1400000US06037534302,6037534302,2015,4443,0,0,0,0
1400000US06037534403,6037534403,2015,2986,0,0,0,0
1400000US06037534404,6037534404,2015,3647,0,0,0,0
1400000US06037534405,6037534405,2015,4292,0,0,0,0
1400000US06037534406,6037534406,2015,4754,0,0,0,0
1400000US06037534501,6037534501,2015,5166,0,0,0,0
1400000US06037534502,6037534502,2015,4213,0,0,0,0
1400000US06037534700,6037534700,2015,4316,0,0,0,0
1400000US06037534802,6037534802,2015,2875,0,0,0,0
1400000US06037534803,6037534803,2015,4930,0,0,0,0
1400000US06037534804,6037534804,2015,3878,0,0,0,0
1400000US06037534900,6037534900,2015,6569,0,0,0,0
1400000US06037535001,6037535001,2015,4325,0,0,0,0
1400000US06037535002,6037535002,2015,3681,0,0,0,0
1400000US06037535101,6037535101,2015,7306,0,0,0,0
1400000US06037535102,6037535102,2015,4517,0,0,0,0
1400000US06037535200,6037535200,2015,5820,0,0,0,0
1400000US06037535300,6037535300,2015,6251,0,0,0,0
1400000US06037535400,6037535400,2015,2822,0,0,0,0
1400000US06037535501,6037535501,2015,3866,0,0,0,0
1400000US06037535502,6037535502,2015,4958,0,0,0,0
1400000US06037535503,6037535503,2015,2497,0,0,0,0
1400000US06037535603,6037535603,2015,3493,0,0,0,0
1400000US06037535604,6037535604,2015,4435,0,0,0,0
1400000US06037535605,6037535605,2015,4153,0,0,0,0
1400000US06037535606,6037535606,2015,1860,0,0,0,0
1400000US06037535607,6037535607,2015,4775,0,0,0,0
1400000US06037535701,6037535701,2015,6050,0,0,0,0
1400000US06037535702,6037535702,2015,5522,0,0,0,0
1400000US06037535802,6037535802,2015,6807,0,0,0,0
1400000US06037535803,6037535803,2015,4458,0,0,0,0
1400000US06037535804,6037535804,2015,5498,0,0,0,0
1400000US06037535901,6037535901,2015,5757,0,0,0,0
1400000US06037535902,6037535902,2015,6519,0,0,0,0
1400000US06037536000,6037536000,2015,3720,0,0,0,0
1400000US06037536102,6037536102,2015,3164,0,0,0,0
1400000US06037536103,6037536103,2015,5516,0,0,0,0
1400000US06037536104,6037536104,2015,4050,0,0,0,0
1400000US06037536201,6037536201,2015,5112,0,0,0,0
1400000US06037536202,6037536202,2015,3039,0,0,0,0
1400000US06037540000,6037540000,2015,5521,0,0,0,0
1400000US06037540101,6037540101,2015,6473,0,0,0,0
1400000US06037540102,6037540102,2015,6972,0,0,0,0
1400000US06037540201,6037540201,2015,2370,0,0,0,0
1400000US06037540202,6037540202,2015,6845,0,0,0,0
1400000US06037540203,6037540203,2015,5594,0,0,0,0
1400000US06037540300,6037540300,2015,5267,0,0,0,0
1400000US06037540400,6037540400,2015,2383,0,0,0,0
1400000US06037540501,6037540501,2015,6942,0,0,0,0
1400000US06037540502,6037540502,2015,6548,0,0,0,0
1400000US06037540600,6037540600,2015,4271,0,0,0,0
1400000US06037540700,6037540700,2015,3014,0,0,0,0
1400000US06037540800,6037540800,2015,5042,0,0,0,0
1400000US06037540901,6037540901,2015,4994,0,0,0,0
1400000US06037540902,6037540902,2015,4506,0,0,0,0
1400000US06037541003,6037541003,2015,4373,2116,1040,484,350
1400000US06037541100,6037541100,2015,3321,1330,743,424,127
1400000US06037541200,6037541200,2015,5618,0,0,0,0
1400000US06037541300,6037541300,2015,6031,0,0,0,0
1400000US06037541401,6037541401,2015,4384,0,0,0,0
1400000US06037541402,6037541402,2015,2651,0,0,0,0
1400000US06037541500,6037541500,2015,6070,0,0,0,0
1400000US06037541603,6037541603,2015,2983,0,0,0,0
1400000US06037541604,6037541604,2015,6172,0,0,0,0
1400000US06037541605,6037541605,2015,5353,0,0,0,0
1400000US06037541606,6037541606,2015,2506,0,0,0,0
1400000US06037541700,6037541700,2015,6364,0,0,0,0
1400000US06037541801,6037541801,2015,4903,0,0,0,0
1400000US06037541802,6037541802,2015,5464,0,0,0,0
1400000US06037542000,6037542000,2015,5702,0,0,0,0
1400000US06037542103,6037542103,2015,4114,0,0,0,0
1400000US06037542104,6037542104,2015,3334,0,0,0,0
1400000US06037542105,6037542105,2015,5200,0,0,0,0
1400000US06037542106,6037542106,2015,3226,0,0,0,0
1400000US06037542200,6037542200,2015,6962,0,0,0,0
1400000US06037542401,6037542401,2015,4912,0,0,0,0
1400000US06037542402,6037542402,2015,3183,21,8,4,4
1400000US06037542501,6037542501,2015,4307,0,0,0,0
1400000US06037542502,6037542502,2015,4284,0,0,0,0
1400000US06037542601,6037542601,2015,3003,0,0,0,0
1400000US06037542602,6037542602,2015,5486,0,0,0,0
1400000US06037542700,6037542700,2015,5720,0,0,0,0
1400000US06037542800,6037542800,2015,3162,0,0,0,0
1400000US06037542900,6037542900,2015,3285,0,0,0,0
1400000US06037543000,6037543000,2015,4345,2847,1251,798,383
1400000US06037543100,6037543100,2015,6739,2059,797,520,303
1400000US06037543201,6037543201,2015,3607,0,0,0,0
1400000US06037543203,6037543203,2015,5543,196,24,49,24
1400000US06037543304,6037543304,2015,6061,4844,823,1001,915
1400000US06037543305,6037543305,2015,2635,1817,690,342,323
1400000US06037543306,6037543306,2015,5716,2878,879,699,435
1400000US06037543321,6037543321,2015,4722,1328,166,334,160
1400000US06037543322,6037543322,2015,6611,0,0,0,0
1400000US06037543400,6037543400,2015,4086,0,0,0,0
1400000US06037543501,6037543501,2015,6802,0,0,0,0
1400000US06037543502,6037543502,2015,4554,0,0,0,0
1400000US06037543503,6037543503,2015,5686,0,0,0,0
1400000US06037543601,6037543601,2015,3910,0,0,0,0
1400000US06037543603,6037543603,2015,3690,0,0,0,0
1400000US06037543605,6037543605,2015,4563,0,0,0,0
1400000US06037543606,6037543606,2015,3199,0,0,0,0
1400000US06037543607,6037543607,2015,2833,0,0,0,0
1400000US06037543701,6037543701,2015,2994,0,0,0,0
1400000US06037543703,6037543703,2015,3472,0,0,0,0
1400000US06037543704,6037543704,2015,3604,0,0,0,0
1400000US06037543705,6037543705,2015,3479,0,0,0,0
1400000US06037543801,6037543801,2015,5260,0,0,0,0
1400000US06037543803,6037543803,2015,3971,0,0,0,0
1400000US06037543804,6037543804,2015,3155,0,0,0,0
1400000US06037543903,6037543903,2015,3804,90,28,27,10
1400000US06037543905,6037543905,2015,4510,0,0,0,0
1400000US06037544001,6037544001,2015,3930,1052,236,314,70
1400000US06037544002,6037544002,2015,4129,3264,622,915,314
1400000US06037550101,6037550101,2015,3274,0,0,0,0
1400000US06037550201,6037550201,2015,2700,0,0,0,0
1400000US06037550202,6037550202,2015,5476,0,0,0,0
1400000US06037550301,6037550301,2015,5057,0,0,0,0
1400000US06037550501,6037550501,2015,2609,0,0,0,0
1400000US06037550502,6037550502,2015,5195,0,0,0,0
1400000US06037550601,6037550601,2015,5639,0,0,0,0
1400000US06037550602,6037550602,2015,4211,0,0,0,0
1400000US06037550700,6037550700,2015,6920,573,135,156,66
1400000US06037550801,6037550801,2015,3919,0,0,0,0
1400000US06037550802,6037550802,2015,3244,0,0,0,0
1400000US06037550901,6037550901,2015,3762,0,0,0,0
1400000US06037550902,6037550902,2015,5572,0,0,0,0
1400000US06037551001,6037551001,2015,4229,0,0,0,0
1400000US06037551002,6037551002,2015,2855,0,0,0,0
1400000US06037551101,6037551101,2015,3926,0,0,0,0
1400000US06037551102,6037551102,2015,5503,0,0,0,0
1400000US06037551201,6037551201,2015,3588,0,0,0,0
1400000US06037551203,6037551203,2015,3955,0,0,0,0
1400000US06037551204,6037551204,2015,3711,0,0,0,0
1400000US06037551300,6037551300,2015,5422,0,0,0,0
1400000US06037551401,6037551401,2015,4245,0,0,0,0
1400000US06037551402,6037551402,2015,4459,0,0,0,0
1400000US06037551501,6037551501,2015,4914,0,0,0,0
1400000US06037551502,6037551502,2015,4250,0,0,0,0
1400000US06037551700,6037551700,2015,6547,0,0,0,0
1400000US06037551801,6037551801,2015,3857,0,0,0,0
1400000US06037551802,6037551802,2015,3676,0,0,0,0
1400000US06037551900,6037551900,2015,5333,0,0,0,0
1400000US06037552001,6037552001,2015,4105,0,0,0,0
1400000US06037552002,6037552002,2015,3721,0,0,0,0
1400000US06037552100,6037552100,2015,5891,0,0,0,0
1400000US06037552200,6037552200,2015,6827,0,0,0,0
1400000US06037552301,6037552301,2015,4900,0,0,0,0
1400000US06037552302,6037552302,2015,3648,0,0,0,0
1400000US06037552400,6037552400,2015,2781,0,0,0,0
1400000US06037552601,6037552601,2015,5720,0,0,0,0
1400000US06037552602,6037552602,2015,4191,0,0,0,0
1400000US06037552700,6037552700,2015,6985,0,0,0,0
1400000US06037552800,6037552800,2015,6401,0,0,0,0
1400000US06037552900,6037552900,2015,6881,0,0,0,0
1400000US06037553000,6037553000,2015,4823,0,0,0,0
1400000US06037553100,6037553100,2015,6278,0,0,0,0
1400000US06037553201,6037553201,2015,3805,0,0,0,0
1400000US06037553202,6037553202,2015,3238,0,0,0,0
1400000US06037553300,6037553300,2015,3390,0,0,0,0
1400000US06037553400,6037553400,2015,3861,0,0,0,0
1400000US06037553502,6037553502,2015,4183,0,0,0,0
1400000US06037553503,6037553503,2015,2768,0,0,0,0
1400000US06037553504,6037553504,2015,5363,0,0,0,0
1400000US06037553601,6037553601,2015,5261,0,0,0,0
